-0.143,0.007
-0.130,0.006
-0.117,0.005
-0.106,0.004
-0.096,0.004
-0.087,0.003
-0.080,0.003
-0.074,0.002
-0.070,0.002
-0.068,0.002
-0.067,0.002
-0.068,0.002
-0.071,0.002
-0.076,0.003
-0.082,0.003
-0.090,0.004
-0.099,0.004
-0.110,0.005
-0.122,0.006
-0.135,0.007
-0.149,0.008
-0.163,0.009
-0.177,0.010
-0.190,0.011
-0.202,0.012
-0.213,0.013
-0.221,0.013
-0.227,0.014
-0.230,0.014
-0.229,0.014
-0.225,0.014
-0.216,0.014
-0.203,0.013
-0.186,0.012
-0.165,0.011
-0.139,0.009
-0.111,0.008
-0.079,0.006
-0.045,0.003
-0.009,0.001
0.027,-0.001
0.063,-0.004
0.098,-0.006
0.131,-0.009
0.162,-0.011
0.189,-0.013
0.211,-0.014
0.229,-0.016
0.242,-0.017
0.250,-0.017
0.252,-0.017
0.249,-0.017
0.241,-0.016
0.229,-0.016
0.212,-0.014
0.192,-0.013
0.170,-0.011
0.145,-0.009
0.119,-0.007
0.092,-0.005
0.065,-0.003
0.039,-0.001
0.014,0.001
-0.009,0.003
-0.031,0.004
-0.051,0.006
-0.070,0.007
-0.086,0.008
-0.101,0.009
-0.114,0.010
-0.126,0.010
-0.137,0.011
-0.147,0.011
-0.156,0.012
-0.164,0.012
